profile name,profile contributions,profile helpful votes,review title,rating,review,date of stay,trip category
Andrew B,24,14,Simply the best!!,[5.0],"My wife and I had been planning our visit to the Ritz for over a year, as the final leg of a 6 week trip to Europe. We had stayed at the Ritz on our wedding night, 34 years ago. We had called in 2 years ago just for a nostalgic sticky beak when passing. At that time we were greeted in the lobby by Mr Wlodek Ostojski. He couldn’t have been more welcoming and he walked us round the restaurant and function areas and then back to the Palm Court. There he insisted we sit down and have a glass of champagne and he introduced us to Mr Ian Gomes, the resident pianist. Ian regaled us with stories and played us a Sinatra medley while we sipped the champagne.We resolved at that point that we must come back and stay.So last year, when we were planning this trip we corresponded with Maria Sanz, who was extremely helpful in booking our recent 5 night stay.The stay also included a one night stay for my Mum, brother and sister in law for an early celebration of Mum’s 90th, which is in December.On our arrival we were given a warm and friendly welcome by the team at check in. The lovely Louisa from Lisbon took us to our room.The rooms are fantastic with such elegance and quality. The bed was so comfortable and my wife chose from the pillow menu.Breakfast in the Ritz restaurant was very stylish with plenty of choice.When the rest of the family checked in we had dinner at the Ritz Restaurant on the Sunday night and a fabulous high tea in the Palm Court on Monday. Both sensational experiences.We introduced Mum to Ian Gomes and they sang duets of very old songs. Ian gave Mum some CDs of him playing which was very kind.We got to know Michael, one of the doormen, partly due to my morning runs around Hyde/Green parks. Apart from the clear character fault of being a Spurs fan, Michael was a great guy and always welcomed us with a joke.We were delighted to catch up with Mr Ostojski and he was kind enough to send us a bottle of champagne which we all enjoyed with afternoon tea. Another lovely, kind thought.Sandra the chamber maid was a very nice person and we enjoyed seeing her in the evenings.The Ritz is unique because it combines excellence in the property with superb service. It is not stuffy or pompous but stylish, understated and friendly. We found all of the staff to be outstanding and it is obvious that the culture is such that many have worked there for many years. Culture in any organisation is only created over the long term.The Ritz has its own personality which is a combination of its unique location, the beauty of the property, but most of all its fabulous staff.We will be back!!Many thanks to all at the Ritz.", October 2017, Travelled with family
Barrythebell,23,7,Birthday Girl Treat,[5.0],"Took my wife out for a wonderful birthday meal, very hot day, so I didn't wear a tie, so they loaned me one, as one may expect, wonderful ambience, great staff, great food and drink, got to be tried, and will be going back", June 2017, Travelled as a couple
sheilabarnard2017,19,22,Evening Meal,[5.0],"This is quite simply the most beautiful dinning room I have eaten in, right from the moment we entered the hotel it transported you into another world. Francouzská Restaurace Art Nouveau restaurant in Prague was impressive but The Ritz London was just amazing, attention to detail was impressive from the powder room to the cloakroom key.....Would most definitely recommend.", October 2017, Travelled as a couple
MELO1303,17,6,Perfect afternoon tea,[5.0],"From the moment we entered the building we were greeted by friendly staff who guided us to the cloakroom and powder room. When we were shown to The Palm Court again the staff were friendly and very obliging- everything you would expect and nothing was too much trouble. The selection of teas was impressive and the sandwiches and cakes exquisite. The food just kept coming and I’m sad to say we were beaten. This experience was a gift and it provided the perfect opportunity to dress up, don the heels and take tea in the very traditional and quintessentially English way.", November 2017, Travelled with family
Gillian L,61,15,"Faultless Service, Exquisite Food",[5.0],"I recently had the pleasure of dinner at The Ritz. The service was impeccable, the food delicious and the surroundings a perfect mix of opulence and comfort. The musical entertainment in the dining room gave atmosphere without being too intrusive. The meat dishes were cooked to perfection and the Pear Soufflé was delicious. From the canapés to the warm loaf of rye bread, we enjoyed every morsel. The wine list had the most extensive selection of wines and we very much enjoyed our champagne, followed by a Sancerre. A fine dining experience from start to finish and highly recommended for a very special evening out.", October 2017, Travelled with family
vinay b,65,12,special treat,[5.0],we went for afternoon tea and found the whole experience highly enjoyable.the staff were very attentive and the food was excellent but too much!!the cakes were delicious but very rich so we had trouble finishing them., November 2017, Travelled as a couple
frasambro,33,7,Afternoon Tea,[5.0],"Again a pleasant annual visit to the Ritz for afternoon tea.Service quality very high, decor excellent, afternoon tea gets better every year.Location easy to get to.Value for money 100%  you get what you pay for... An excellent venue for couples, friends and family gathering over high class food and service.No complaints only praise from booking to seating and afternoon tea.", November 2017, Travelled as a couple
xJVGx,55,27,Exceeded Expections,[5.0],"I booked an afternoon tea experience for my mum as a gift, accompanied by my sister and I. Having never been before, first impressions of the building externally and internally were lovely, grand architecture outside, quintessential country house inside. Staff were charming and happy to take about a million photos for us. Prompt and happy service, excellent choice of teas which are constantly being refilled. The afternoon tea itself was delicious and so filling, six different sandwich fillings, which were also topped up, scones, fancy pastisseries plus a number of delicious cakes offered to us from a tea trolley. So much food! Although a more expensive afternoon tea experience, I could not fault the quality or the ambience that the ritz creates. Can I do this every Monday afternoon?!! Would definitely recommend.", November 2017, Travelled with family
Steven S,8,11,Wonderful Staff and Simply Fabulous,[5.0],"My wife and I flew to Miami to take a cruise focused on the Caribbean, more about this later! We stopped in London and stayed at the Ritz overnight before we flew back to Sidney.Simply Fabulous is all we can say. The hotel is elegant and perfectly appointed for the setting. We have stayed at The Ritz all over the world and others are more elegant yet this one is perfect! We highly recommend this hotel when you are in London!", November 2017, Travelled as a couple
Richard R,6,2,Birthday treat dinner,[5.0],"It's not every day you get the chance to dine at The Ritz, so I was really looking forward to my birthday treat dinner with my wife. I was not disappointed. The dining room is spectacular and the food exceptional. Service is over-the-top and a form of entertainment in itself, just as you'd expect (and want) from The Ritz - all adding to a great, once-in-a-lifetime experience. During our dinner we had a pianist playing, then an operatic singer, then a string quartet all performing in the corner of the dining room. If you get the chance to go and be really spoiled, take it.", October 2017, Travelled as a couple
ceasermurphy,22,4,Afternoon tea,[5.0],We took my mum to the Ritz for her 70th birthday.Such a lovely place and fabulous cream tea.Piano playing whilst eating.It was special.A must for any special occasion.You must book way in advance to avoid disappointment., November 2017, Travelled with family
Tankatron,48,15,Expected more,[4.0],"When i hear the name 'Ritz' i expected utter luxury, it was not what i was expecting.  Very, very nice and no real issues with what i experienced.  I found Claridges to be a little more classy.  The price was reasonable", December 2016, Travelled on business
DinerDudes,10,9,Afternoon Tea - Simply Wonderful,[5.0],"Fabulously opulent setting, freshly made sandwiches and exquisite sweet treats . Attentive and friendly staff. Couldn't have asked for a better visit. It was a lovely, special occasion and we enjoyed every minute of our trip. We had the last sitting of the day which was great because we didn't feel rushed at all.", September 2017, Travelled as a couple
Meggie129,123,20,Simply Excellent,[5.0],"This iconic hotel was my choice to accommodate my in-laws during their visit to London. The Ritz London it's not a usual hotel, this is a luxury experience you can only dream of. My in-laws were clearly shocked when a cab dropped them at the front of the hotel. A cab driver rang me and was almost crying when he was trying to picture the reaction he experienced when he told them ""here we are, we arrived at your hotel""... All the hotel staff made their ""wedding anniversary experience"" unforgettable. My mother in law was blown away. The iconic Ritz is a pure luxury.", October 2017, Travelled as a couple
Alex S,134,27,Sublime ,[5.0],"The service is exceptional, atmosphere is wonderful, and the quality of food and drink is excellent. I would recommend the hotel to anyone visiting London. We were served by lovely staff throughout our visit.", November 2017, Travelled with friends
CJ C,42,16,The Rivoli Bar,[5.0],"A Cocktail; at the Rivoli Bar is a worthwhile way to experience London at its best - the service is as you might expect professional, efficient and generally of a high standard,  but it is also friendly and personable, not stuffy nor superior just relaxing and enjoyable.I can recommend the 'To be or not to Be' cocktail which was really excellent and from the doorman who greets you at the entrance to the porters, the concierge and waiting staff, the Ritz is a London hotel that never fails to exceed ones expectations.", October 2017, Travelled on business
Marcus H,39,63,The very best of British ,[5.0],"I've wanted to stay at the Ritz for as long as I can remember but I've always prioritised some more trendy or of the moment hotels for my regular stays in London.. I decided I'd realise this dream this week and treat my girlfriend to a well deserved mini break..   well all I can say is that it surpassed all expectations and what a treat it was.. the moment you draw up outside the hotel you are made to feel so special.. check in was a lovely process, the genuine welcome and quality of service is truly world class.. the decor is decadent and tasteful and the sense of occasion is real and tangible.. the bed was so comfy we didn't want to get up and it was a wonderful treat and any special occasion would be made to feel that more special with a stay at The Ritz.. quality never dies and this hotel is worth every penny.... give it a try..", October 2017, Travelled as a couple
Malminge,14,4,A beautiful hotel,[5.0],The location of hotel Ritz is absolutely the best in London.It was some problem when we checked in according to misunderstanding as one in the family celebrated his birthday and the treatments in our room should be secret. Finally we got a beautiful and quiet suit room and the bathroom was excellent equipped. The service in the hotel is superb and we had a fantastic birthday dinner in the great dining room. All the fantastic Christmas decorations we will never forget.We love to come back!, December 2016, Travelled with family
Dinkytoon,327,80,Special 60th birthday treat,[5.0],"OMG 😮 what a fabulous hotel,from the start to finish ,sublime. Arrived by taxi 🚕 before I could open the taxi door the concierge service greeted us took our luggage . The welcome was superb the staff are outstanding knowledgeable and extremely friendly . It’s like a fairytale dream experience unbelievable nothing is too much trouble. The bedroom and facilities are absolutely fabulous what a great treat once in a lifetime experience “Exquisite “ highly recommend best ever hotel I’ve stayed in.", October 2017, Travelled with friends
bccfisher,20,3,A PERFECT LUNCH !,[5.0],"Perfect Lunch! Perfect Service! Perfect Atmosphere! - Just what I had been led to believe.I didn't know a simple boiled egg, so elegantly served, could be so delicious. Make sure you have the souffle for pudding.Every dietary need was catered for and the staff, all of them, are superb.My only etiquette failure was to leave my napkin on the table, which was quickly taken up by the waiter; folded and placed delicately over the arm of the chair.I thought this would be a once in a lifetime experience, but I shall return very shortly", October 2017, Travelled as a couple
Carol M,5,1,60th Birthday treat,[5.0],"If I could give this hotel 10 stars I would!!My husband booked a Night at the Ritz for my 60th.. As soon as we walked in ..the staff couldn’t have been more helpful and polite. We were shown around the Hotel and told of its history by a lovely receptionist and then escorted to our beautiful room.. where I had surprise presents and champagne from friends set out ..and a cake from the hotel.I have stayed in many wonderful hotels around the world but the Ritz tops them all.You feel as if you have gone back in time to those days of opulence and service which you rarely get today..The breakfast has to be the best ever! With waiters attending to your every need, and the Rivoli Bar was a must.. we kept going back for yet another Gin and tonic.All the male members of staff are dressed in either tails or Dinner suits with bow ties.. they looked amazing with manners to match.. and the only comment I would make to change just one thing ...would be the female members of staff should be dressed in equally stunning outfits, they looked dowdy in comparison to the gentlemen. Dress them in beautiful gowns!My husband has now promised at least 2 visits a year to the Ritz! I’m a happy lady!Thank you The Ritz for the best birthday ever! X", October 2017, Travelled as a couple
Paramores,204,28,Exquisite Afternoon Tea,[5.0],"Beautiful decor with chandeliers, flowers and fine soft furnishings, the staff were friendly and helpful going the extra mile to make my dads 80th Birthday very special. The cakes, sandwiches and scones were all delicious and beautifully presented in abundance. Harp music added to the relaxing atmosphere. Worth every penny.", October 2017, Travelled with family
Derek S,313,100,Aftrnoon tea at the Ritz,[5.0],"For those of you who can plan in advance this is a must 12 months will see the time slot you would prefer . Leave it 6 months and you will be taking a chance on any of the 4 time slots 11:30-1pm 13:30 3pm 15:30-17.00 .17.30-19:00 most popular times are 13:30-15:00 and 15:30-17:00 you will be greeted by a waiter who will show you  your table and show you an extensive tea menu , coffe is available on request .Followed by sandwiches and cakes nice selection of hand made cakes Sandwiches we had were egg mayonnaise, ham and mustard,salmon , cucumber cream cheese and dill , chicken served on tomato bread , soda bread, brioch , although the sandwiches are small in appearance they did keep bringing more, and more Same for the lovely scones beautify made strawberry jam and really thick clotted cream Never an empty pot of tea water was also available in such decadent surroundings with a harpist playing in the background A must in a lifetime if you would like to taste the finer side of life and be totally spoiled", October 2017, Travelled as a couple
Elliedog123,18,16,Lovely stay,[5.0],My family and I stayed for 2 nights.  Family room was lovely big enough and lovely décor.  Children enjoyed the large bath!!  The hotel is in walking distance to bars and restaurants and near public transport if needed. Staff were very friendly and helpful especially on the front desk they were more than happy to give directions and offer recommendations.  Would recommend., November 2016, Travelled with family
Jo F,36,22,Afternoon Tea,[5.0],"All I can say is go there hungry! The service was excellent, the choice of teas numerous. The sandwiches kept coming, but you must leave room for the delicious scones and cake. They cater for all. One member of our group is diabetic, the scones and jam were sugar free, instead of the cake offered, they were given a fantastic fruit platter. The piano playing in the background was a lovely addition. This is the second time I have been and can’t recommend enough for that special occasion. Superb!", October 2017, Travelled with family
AngelinaLazar,128,8,Totally Classic London!,[5.0],"A wonderful place for English Cream Tea Sunday afternoon over the piano and harp. Totally old school London, classic, upscale, cultured and delectable! It's a full house... so be sure to book! Best & God Bless! xo¬A", December 2016, Travelled as a couple
Brayford,414,132,Tea at the Ritz,[5.0],"Firstly you have to book a few months in advance as it is so popular.Don’t go thinking you will be there with just a few other people, I guess there were between 50 and 100 taking tea when we were there. They have 5 staged sittings per day.It was just as I had hoped it would be - opulent setting, attentive service and a delicious English tea. Finger sandwiches, luscious cakes, warm scones with cream and superb jam then an apple strudel and strawberry cream cake came round on a trolley.A piano player was playing and we sent a note to ask him to play ‘our song’ and he did.Absolute Perfection.", October 2017, Travelled as a couple
RogerB254,79,23,Afternoon Tea in the Palm Court,[5.0],"So popular is Afternoon Tea at The Ritz that, at relatively short notice, we could only get a table at 19.30, but the Palm Court was still busy.  From the liveried, and charming, doorman, to the Palm Court Manager and his staff we received a warm welcome and excellent, professional service.  The food - sandwiches, scones and pastries - was top quality, beautifully presented and, somewhat surprisingly, replenished without our having to ask, so the fact that we were there at would usually be dinner didn’t actually matter. And the tea - a choice of 18.....  Try not to be put off by the price, it is a really enjoyable experience.", October 2017, Travelled as a couple
Tony M,633,83,Afternoon tea at the Ritz;  its an English tradition,[5.0],"The most beautiful and extravagant place to have high tea in London. Beautiful food, great service and very interesting people - forget the cost enjoy it. Very central; close to Piccadilly or Green Park tube station, very popular with visitor's to London who want to experience a proper English afternoon tea.MUST book in advance and please be correctly dressed, men collar and tie with Jacket: ladies just look delicious.", September 2017, Travelled as a couple
Amira,65,23,Afternoon tea ,[5.0],Afternoon tea is a must when you visit London. We chose Ritz in London after reading and making a little research. We had a lovely experience with a friendly staff and a beautiful surroundings. Dress code is indeed a must so a tie for the gentlemen. The whole experience is just little of the ordinary and very tasty delicious sandwiches and sweets are being served. We loved it that grey rainy day., October 2017, Travelled as a couple
MissAngelou,45,15,Afternoon Tea,[5.0],"I booked a celebration afternoon tea in October 2017 for my mothers 60th birthday and she said it was absolutely amazing. The setting was opulent and luxurious, the staff were very attentive and she had the most amazing birthday at The Ritz.Highly recommended!", October 2017, Travelled as a couple
Dan P,41,16,Not as good as I hoped,[3.0],"Maybe my expectations were too high, I do not know, but what I do know is that in my opinion, this hotel is not as good as many other luxury hotels in London.  It is coasting on its reputation and not on its service.Without naming other hotels, there are several which as a business man I have preferred.  I stayed at the Ritz last minute, my company had messed up my hotel, I had worked long hours and the Ritz was the 1st hotel I saw when I got off the phone, so I booked in.£500 later I had was in my room.  All good so far, nice room but not better than others.What really annoyed me was the service and attitude that evening.  Long story short, it was extremely short and far below what this hotel chain aspires to.I have no problem spending £500 per night and I have spent considerably more, however, I do expect impeccable service.  The name and reputation do not cover over the poor service.Shame, I had hoped for so much more.If you want to know other hotels of a similar class in London which are considerably better, please see my other reviews.", January 2017, Travelled on business
Asher,78,71,Exceeded all expectations. ,[5.0],"I visited The Ritz with a larger group of friends for afternoon tea. I was slightly nervous about going as I often feel out of place in ""posh"" establishments. I have to say though that the staff made every one of us feel so welcome and at home (laughable huh!). Our waiter was fantastic and explained everything and the afternoon tea itself was very nice. We had the loveliest time and all left wanting to return. A must-do for people in London or visiting. You won't be disappointed.", October 2017, Travelled with friends
Traveller53Wiltshire,170,276,Fabulous dinner!,[5.0],"We ate in the Palm Court restaurant to celebrate our son receiving his Duke of Edinburgh Gold award from Edward, Duke of Wessex earlier in the day.  We were not disappointed in any way right from the minute we stepped inside.  The prices were reassuringly outrageous and expected, however you do receive a wonderful dining experience in return.  Our food was sublime, the surroundings are wonderful and as we dined we were able to have conversation, whilst at the same time listening to a string quartet.  A truly memorable experience all around.", October 2017, Travelled with family
James M,138,18,Magnificent,[5.0],"I am fortunate enough to visit many of London’s finest hotels and restaurants. I breakfasted there with clients. Ignoring the richness of the hotel’s history, everything is simply done to perfection. The food was difficult to surpass. The unique aspect of a hotel of this quality is there is nothing that can’t be done for you. Many well known brands rest on their laurels, the Ritz has avoided this all too common pitfall.", August 2017, Travelled on business
Nigel T,"2,051",425,Private dinner,[5.0],"We were lucky enough to be invited to a private dinner held in he Music Room. The dinner was introduced by their Executive Chef, John Williams.Everything about the evening was superb. The room is just beautiful, the staff were attentive and polite and the food was just glorious. I just wish I could afford to eat there every week!The starter was Fillet of Brill with grapes which just melted in the mouth. The Steak Tournedos were flavoured with black truffle. And to finish a pastry of Autumn Fruits. Each course was paired with a superb wine.Just an amazing evening.", October 2017, Travelled as a couple
livelaughexperience,52,21,Afternoon tea,[5.0],"We were treated like royalty!  Such an amazing place, it is so beautiful and the staff are very attentive and excellent in their work.The whole experience was fabulous and I would highly recommend taking afternoon tea here.Gentlemen, please remember to dress appropriately, a jacket and tie, with trousers (no jeans) is the dress attire expected.  You will feel out of place if you do not dress as above and may even be asked to visit their cloakroom to hire the appropriate wear.  After all, taking tea at The Ritz is an occasion!And the same applies to us ladies, it is an opportunity to dress up and enjoy ourselves!  I suggest you have only a little breakfast, as the sandwiches, cakes and tea are very filling!So look forward to a wonderful experience at The Ritz and you will feel a million dollars!", October 2017,nan
Claire S,35,13,Another amazing stay,[5.0],"My husband & I stayed at The Ritz to celebrate our wedding anniversary last weekend. The service at the hotel was just great, from check-in to check-out we were treated to a wonderful service. Special mention to Orla on front desk, she made us feel very welcome. Also the trio of waiters during dinner service were very professional but still warm & welcoming. The food at dinner & breakfast was top notch, absolutely no complaints at. The Ritz is not your everyday hotel, everyone should experience this at least once!", October 2017, Travelled as a couple
21minaxi,18,0,Birthday Cocktails,[5.0],"Simply magical! Perfect setting to raise a glass or two in celebration for my sisters BIG birthday! Fabulous service, amazing cocktails and beautiful decor! And if you like whiskey then the Orient Express will blow all the other drinks out of the water!!! Think we may just have to go back for just that...A definitive MUST on anyone’s bucket list!", September 2017, Travelled as a couple
Jelswiss,597,133,Could not ,[5.0],"Be better!! Absolutely wonderful my favorite hotel practically anywhere. Management and staff in all areas are top class,nothing is too much. Contrary to many people's opinion The Ritz is not snooty in point of fact they treat all guests with the utmost friendly respect, what they strive to achieve is to keep poorly dressed people that are just curious walking in and out, this is absolutely imperative for a hotel of this quality, it is done with respect but firmly.This is my 60th stay at the Ritz London and I look forward to the 120th.All the reception rooms especially the main dineing room are stunning in every aspect of a bygone era but the maintenance of all is constant. The front desk and concierge are fabulous.This hotel is managed very well indeed.", October 2017, Travelled on business
Andy W,58,35,very nice,[4.0],"Decided to have afternoon tea here for our 6th wedding anniversary celebration - we always dine out and have always visited The Savoy prior to today but decided on a change.Plus points - there was no availability online but when I rang directly a table was found (3 months in advance) which was followed up with very nice emails from the staff.Food excellent, a range of 6 fabulous finger sandwiches, warm scones, and to-die-for strawberry cheesecake at the end. A range of four pastries all very nice. The Ritz royal tea was the best I have ever tasted. Our engraved cake was wonderful and came with candles, was boxed up to take home, and was extremely delicious. We were sat at the table next to each other which was nice as opposed to opposite. Staff were very smart and attentive.Minus points - there are too many tables for me. It was too packed and noisy and we had trouble hearing the waiters at times. Also, with a huge 5 sittings a day there was a definite rush after 80-90 minutes or so to clear the tables, hand out the bills (interesting) and prepare for the next round, I know you cant sit there indefinitely and they have a job to do, but I wasn't as relaxed as at The Savoy. They could do with losing about 10 tables and having a little more space to breathe.It was a nice day out and we have done The Ritz and it was a lovely experience.", October 2017, Travelled as a couple
Leighites,"2,004",157,Fantastic experience,[5.0],"Came here for friend's 65th birthday and what a treat it was.Nothing too much trouble and spoilt in every way. Highly recommend and worth every penny. Steeped in history and old England for sure! Handy location for west end, theatres and shopping.", June 2017,nan
274pip02,66,19,Amazing ,[5.0],"Went for afternoon tea to celebrate our anniversary. Service amazing, everything beautifully presented and tasted wonderful.  Waiters kept offering more sandwiches and cakes without being asked . Wonderful piano music throughout and the best ladies room ever!", September 2017, Travelled as a couple
r_petite34,61,68,Beautiful hotel,[4.0],We stayed at this hotel in Aug for our 10th wedding anniversary.As our chauffeur dropped us off early we left our cases with reception and walked around London for a while which was great. On returning we were shown to our room which was a king room and lovely and big. We noted that the note left wishing us a lovely stay was for the guests before which was not a good start but the lady looked embarrassed and moved on.We were staying one night for live at the ritz and were looking forward to a great evening. On arrival in the restaurant we were shown to a lovely table at the left edge of the restaurant as you walk in. The menu was extensive too. The food and service excellent but have to say let the side down when after my husband ordering three different bottles of expensive wine they had none of them to the embarrassment of the head sommelier. Eventually the nice chap went to the cellar to see what he could do and came back and redeemed himself shall I say but should never happen in a five star hotel and have stayed at the Dorchester and Claridges and never have been in this situation so slightly embarrassing for a while.By the time we finished our meal the entertainment had started some time ago but enjoyed the last 10-15 minutea of it. I have to say I think it's wrong when staying as a guest at the hotel and paying £550 a night that you have to pay at least £70 on top for entertainment that we hardly saw due to the wine waiter trying to get us a wine which had sold out. The next morning we ate breakfast at the wolseley across the road and have to say what an excellent breakfast it was and delivered fast and tasty. All in all a very pleasant stay but could of been better for the money we paid for one night as it was a special night, August 2017, Travelled as a couple
EnglandFamilyGuy,77,33,"Beautiful experience, beautiful surroundings, wonderful afternoon tea",[5.0],"I visited for afternoon tea.  7 of us visited.  We had 2 bottles of Champagne, 1 Verve Cliquot and 1 their house champagne.  Many of our group loved the house champagne more.  The sandwiches and cakes were superb, but at £54 a head you'd expect them and the experience to be fantastic and it was.  I took 6 of my team here for a special treat and experience, and it was that, and everyone loved it.We had a thoroughly enjoyable experience, one we will all never forget.Highly recommend.  £700 was our total cost.", October 2017, Travelled on business
cucuruchito,357,197,Love the Ritz,[5.0],"I love the Ritz, beautiful, elegant, with the lovely plus of being a trip in time, full of flowers,  and with the best concierge desk of the entire world. The concierges are the soul of The Ritz, Michael, Sachi, Andy, Paul, Mark... all of them, they make the most of your stay. Reception desk also very efficient and welcoming. There is still room for improvement as we saw some flaws in service this time, breakfast at the beautiful main restaurant has always been perfect but now every order takes its time,  the waiters seem to be less than usual and although they are very nice it seems as they are less than usual, also we suspect there are  less people backstage, orders can take 25 minutes to arrive...a little too much.. .grapefruit juice ""was not available this morning"" for a couple of days although we could always see grapefruit (the fruits) on the buffet table.  I love the perfect suites and decoration but I still hope to see a nespresso coffee machine and tea facilities in the room next time. This is a must have.  I think The Ritz guests deserve it.", October 2017, Travelled with friends
Ian B,177,156,A wonderful day ,[5.0],"We are foodies and love eating out. Lunch at the Ritz was a gift. We had high expectations and were not disappointed. Truly a 5 star venue with staff that realise this and uphold the standard. Beautiful dining room with well dressed staff who were all highly attentive and thoroughly professional. The food was exquisite. We both had monkfish starters....amazing. The Mrs then had the tortellini and I had the Jacobs ladder ( think slow cooked pork belly ). Can't fault any of it. Service is also a little theatrical,  adding to the experience.  The set lunch menu is, admittedly,  quite limited with 3 starters 3 mains and 2 desserts plus cheese. However there is something for pretty much everyone at a good value price. There are also delicious little treats at the start and end of the meal. Wine is expensive but always is in these places. This was a fabulous day out with excellent food. Highly recommended as a treat or a gift for someone into their food. We will be back.", October 2017, Travelled as a couple
arockefellerview,"1,111",59,"Venerable old guard hotel, classic tradition and Casino",[4.0],"Historic hotel in the midst of classic walking London, with beautiful public areas.  Tiny rooms of chintz to elegant damask suites. Excellent service. Restaurants, cocktails and Tea, with the ocassional military pensionier in residence.  The Casino is classic Bond, and a destination unto itself.", November 2016, Travelled on business
Bryan504,23,7,"Tea at The Ritz, London",[5.0],A bit pricy but worth every penny.Impecable service. Very timely event. We felt a bit rushed to leave as you are only allowed one hour and fifteen minutes before the next seating.Traditional british thing to do. Men must wear coat and tie., October 2017, Travelled with family
Annie,63,28,Amazing ,[5.0],"Booked this for afternoon tea and there is not one thing that wasn't amazing, service incredible, selection of food delicious and sheer elegance of the setting was second to none. If you get the opportunity just do it, you won't be disappointed.", October 2017, Travelled as a couple
Colliedog58,401,153,Sunday Lunch - A Real Treat,[5.0],My husband and I have eaten in this fabulous restaurant on many occasions but my favourite time here has to be Sunday lunch! There is a real buzz here on Sundays.Wonderful service here always and you truly feel that you are very special. I always think how good it is to be actually addressed by your name rather than sir or madame and this always happens here.The food is amazing and you can eat from the A La Carte menu or from the Sunday menu. i could never come here on a Sunday without having the roast beef!My only negative comment would be that having been lucky enough to eat here on many occasions I would love for the canapes  to be changed but not the coronation chicken!!, October 2017, Travelled as a couple
MaximoMax,113,224,Excellency,[5.0],"The landmark hotel of London and maybe, the world. A unique venue only comparable with it's brothers in Madrid and Paris. A dream of excellency and quality beyond any preconceived expectations. Rooms with views to the Green Park are the very best.", June 2017, Travelled as a couple
Lisa B,232,23,21st Birthday Celebration ,[5.0],"This was the most wonderful way to celebrate my daughter's 21st birthday. The staff were very welcoming and highly professional. They put us at ease and helped us to make our tea choices, and checked for allergies.  The food was amazing, the venue so very special and perfect for our occasion. I am looking forward very much to having another celebration here again in the future!", October 2017, Travelled with family
Michael B,349,136,Exceptional Experience,[5.0],"We stayed a couple of nights in one of the suites and had a truly wonderful time.From the moment we arrived the service was exceptional. The staff are immacculately attired, warm, friendly, well informed and very capable.The hotel is well located and timelessly elegant. The interior is magnificent with beautiful decoration and an almost theatrical presentation. This does attract a number of visitors and whilst this is a busy hotel, it never felt rushed or crowded. Many of the visitors come for the famous 'Tea at The Ritz' and it looked wonderful. The room was likewise beautiful. Everything was of the highest quality - the bed, sheets, towels, robes, slippers. The turndown service was fantastic. Everything with The Ritz is simply at another level. The attention to detail is very impressive. Nothing is left to chance. It has a relaxed and effotless elegance and I was taken by how at ease I felt. We were made to feel welcome and put at ease from our arrival through to departure,The food was delightful, whether breakfast or the fabulous dining experience. The dress code for dinner was more formal (jacket and tie) but when the food is this good it deserves making an effort.Having long wanted to stay in this iconic hotel, it impressed in every regard and exceeded all my expectations. A very memorable experience.", October 2017, Travelled as a couple
christine r,61,24,Tea at the ritz yum!,[5.0],"It may be cliche but what a delight.  The staff were friendly and generous, the food flowed as often as we needed it!  Délions sandwiches, cakes devine and scones fresh and light.  Altogether a wonderful time and then the birthday cake on top...  lovely!", October 2017, Travelled with family
Maashad_00,171,13,Fantastic hotel,[5.0],"We stayed at The Ritz during a long weekend trip to London. Amazing service, very elegant hotel, fantastic breakfast which is served in one of the most beautiful “breakfast” rooms I have ever experienced, which also serves as their Michelin-starred dining room in the evening. Wonderful location, all together our new “home” for future travels to London.", November 2016, Travelled as a couple
olevia_explorer,945,70,Excellent High Tea with exclusive Royal Tea Blend,[5.0],"A visit to London is not complete without the experience of the finest Afternoon Tea at the Ritz London.I had done my research before departing for London with my group. Thus, I had made up my mind to go for this finest tradition of the British. However, as I was not sure of my schedule or other activities, I did not make any reservation. This mistake is not to be repeated by anyone of you, as this Afternoon Tea is very popular, even though there are five seatings daily, and thus often filled up fast. As I was alone, I managed to get the help from the concierge to eventually get one table for myself due to a last minute cancellation.I love the opulence of the whole setting at the Palm Court, where we were served the Afternoon Tea. There are hanging chandeliers with large mirrors by the side, and it was so elegant. There is a pianist who will play music while we indulge in the whole dining experience.There are six varieties of freshly prepared sandwiches, freshly baked scones, and pastries of various small cakes. Every mouthful of the food is so delightful, and do not forget about the Cornish clotted cream and strawberry preserve.Good to note that the Ritz London is the only hotel in the UK with a certified Tea Sommelier, who actually travels around the world to the various tea plantations to source for their wonderful tea selections. I chose to have the exclusive Ritz Royal Tea Blend, which is a mix of Kenyan, Assam and Ceylon Orange Tea. I love it! Really thumbs up to the whole dining experience with very attentive and polite restaurant crew members.Go for this and you will never regret the time well spent.", June 2017, Travelled solo
